HOJA,CATEGORIA,ITEM,DESCRIPCION,ESTADO,PRIORIDAD,ESTIMACION,RESPONSABLE,NOTAS
PANTALLAS,Autenticación,Splash Screen,Pantalla inicial con logo KM Motos,COMPLETADO,Alta,2h,Frontend,Implementado con animación
PANTALLAS,Autenticación,Onboarding,3 pantallas de introducción,COMPLETADO,Alta,4h,Frontend,Carrusel con beneficios
PANTALLAS,Autenticación,Login,Formulario de inicio de sesión,COMPLETADO,Alta,3h,Frontend,Con validaciones y recuperación
PANTALLAS,Autenticación,Registro,Formulario de registro de usuario,COMPLETADO,Alta,4h,Frontend,Con validación de campos
PANTALLAS,Autenticación,Modal Auth Required,Modal para usuarios no logueados,COMPLETADO,Media,2h,Frontend,Aparece al intentar comprar
PANTALLAS,Perfil,Perfil Principal,Pantalla principal del perfil,COMPLETADO,Alta,3h,Frontend,Con progreso y opciones
PANTALLAS,Perfil,Editar Perfil,Formulario de edición de perfil,COMPLETADO,Media,3h,Frontend,Con carga de foto
PANTALLAS,Perfil,Gestión Direcciones,Lista y gestión de direcciones,COMPLETADO,Alta,4h,Frontend,Con mapa y ubicación actual
PANTALLAS,Perfil,Agregar Dirección,Formulario nueva dirección,COMPLETADO,Alta,3h,Frontend,Con etiquetas personalizadas
PANTALLAS,Perfil,Selección Tienda,Elegir tienda predeterminada,COMPLETADO,Media,2h,Frontend,Lista de tiendas disponibles
PANTALLAS,Mayorista,Solicitud Mayorista,Formulario solicitud mayorista,COMPLETADO,Alta,5h,Frontend,Con carga de documentos
PANTALLAS,Mayorista,Carga Documentos,Subir documentos de verificación,COMPLETADO,Alta,3h,Frontend,Foto frontal/trasera/selfie
PANTALLAS,Mayorista,Confirmación Mayorista,Pantalla confirmación solicitud,COMPLETADO,Media,2h,Frontend,Con información de proceso
PANTALLAS,Productos,Home Principal,Pantalla principal con productos,COMPLETADO,Alta,6h,Frontend,Con categorías y promociones
PANTALLAS,Productos,Búsqueda Avanzada,Búsqueda con filtros,COMPLETADO,Alta,5h,Frontend,Filtros por marca/precio/categoría
PANTALLAS,Productos,Detalle Producto,Información completa del producto,COMPLETADO,Alta,6h,Frontend,Con tallas y precios mayoristas
PANTALLAS,Productos,Lista Precios Mayoristas,Modal con precios por cantidad,COMPLETADO,Alta,3h,Frontend,Tabla de descuentos
PANTALLAS,Compras,Carrito de Compras,Gestión del carrito,COMPLETADO,Alta,5h,Frontend,Con cantidades y eliminación
PANTALLAS,Compras,Selección Entrega,Modal delivery vs pickup,COMPLETADO,Alta,2h,Frontend,Con descripción de métodos
PANTALLAS,Compras,Checkout Pickup,Pago contra entrega en tienda,COMPLETADO,Alta,4h,Frontend,Con selección de tienda
PANTALLAS,Compras,Checkout Delivery,Entrega a domicilio,COMPLETADO,Alta,4h,Frontend,Con dirección y tiempo
PANTALLAS,Compras,Selección Pago,Métodos de pago disponibles,COMPLETADO,Alta,3h,Frontend,Tarjeta/PayPal/Contra entrega
PANTALLAS,Compras,Confirmación Pedido,Pantalla de éxito,COMPLETADO,Media,2h,Frontend,Con opciones post-compra
PANTALLAS,Pedidos,Mis Pedidos,Lista de pedidos del usuario,COMPLETADO,Alta,4h,Frontend,Con filtros y estados
PANTALLAS,Pedidos,Detalle Pedido,Información completa del pedido,COMPLETADO,Media,3h,Frontend,Con productos y seguimiento

BACKEND,Base de Datos,Tabla roles,Roles de usuario en el sistema,COMPLETADO,Alta,1h,Backend,Admin/Usuario/Mayorista
BACKEND,Base de Datos,Tabla profiles,Perfiles de usuario,COMPLETADO,Alta,2h,Backend,Información personal y mayorista
BACKEND,Base de Datos,Tabla addresses,Direcciones de usuarios,COMPLETADO,Alta,2h,Backend,Con geolocalización
BACKEND,Base de Datos,Tabla stores,Tiendas físicas,COMPLETADO,Alta,1h,Backend,Ubicaciones y contacto
BACKEND,Base de Datos,Tabla categories,Categorías de productos,COMPLETADO,Alta,1h,Backend,Con orden de visualización
BACKEND,Base de Datos,Tabla brands,Marcas de productos,COMPLETADO,Alta,1h,Backend,Con logos
